,293280303190892352,4813778899092983922,6070915920756326774,13063755163543627373,17257044195963480964,3208377956694033472,207813129367906522,17111084151755669299,18308464484245274255,7859727685148723410,6361024032384320606,13519095786302372438,5640665816183665069,2393919170512215291,8515581584815339952,14578766601495349664,5668836811303235180,12495865578247317355,3606257676048077273,15430410511269794089,4609268077091770114,15403179745965243617,2669866804386232644,5438215685441056073,11983208572166878110,2960848604648982160,6175231066628434004,10841961839177619254,7775083571620401355,12843654299146778236,17346134094602333300,9171209479450830482,8868164867386360984,14975925855790805108,4826860762218811647,8101423618483018554,17104009411180876130,13052826658380952548,6307862379609743252,13179228846214975820,127672198923752726,12327123009710104897,16401171525720655219,8061660093168468027,17164417611875787649,13303971647146545756,1619661759098759476,9595964176487705176,17409388294823723084,6385617087101335378,2868366869318935687,785621562785317234,15166071128778918547,14836401869609584752,14706113470754298569,12354837222693178433,943512221869346476,13746359034492490554,4998577350188978600,16171046124631563076,2354370284795096764,11963336819969579590,5769974633236891398,2785883716331638898,16156844729619078423,10649656395480262916,2751862005288866796,14385991043097371706,7638857860543533107,10156914323397068951,145359730281445485,3321208685439251195,2341950092824114757,3207395564882743095,8157642189040070757,18420581588845603381,15982036454537625897,16892376282720871563,9576144489438852951,13645728187368633380,15515816014414260415,16436794396964496466,11779214054990379599,118420962960781080,1985104667528926123,13555833705343588380,16771975166442953549,18215888674222336098,12153932183848068247,871528899709818687,16568986040315188429,8883856502803143877,14764979847841451024,454196618952738490,4777011962522357974,3158873790164044780,1766573845061583859,6192004564547482609,10965111867874725085,2547596746064236214,17096115526744011327,18339000576505470239,14895787536628270054,15658571220667684420,4069891116377376462,15016689543330028493,1332047932661363747,7262343812406550201,13795301133448004183,18184504970555134410,3681362066331836744,17199842290718582851,10136079032726804185,3801684260651020099,15188200724079463610,6796816306702805578,8790882323926925829,15929100863303613024,16478327307449954058,10644584319944091624,13970362566164387924,17862546461708923957,17877441793364864238,5545534387023982153,2247154382151532653,14934344123396261907,15838568603054061143,1757164971609152922,1373802620488485085,18095655372660480528,4878335509644431792,2052714307254188326,6875580428767699887,6856841829249257306,14022041495385899472,5455068103330112870,7570628220816336809,17290874693536293620,8767423600606468414,8667520167028432747,14418334900995236708,6315967481492615285,9267177801749712070,4515697036633615587,10147107999928851243,16186498914758328592,8526054362968761145,3888684992286551163,7812227440072642443,6223871715951021733
black high top sneakers with white sole,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
converse sneakers,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Converse sneakers in an unusual color (not black or white!),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
black leather oxfords,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
black leather oxfords under $300,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
women's leather boots medium height light color,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"women's light-colored sandals over $1,000",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sneakers with the letter N on the side,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
530 New Balance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
